Model (Query),Average Price (IDR),Sample Size
rtx 2060,3103625,8
rtx 2060 super,4428000,5
rtx 2070,8292500,4
rtx 2080,5500000,1
rtx 2080 ti,18779600,5
rtx 3050 6g,3004900,10
rtx 3050 8g,4043375,8
rtx 3060,4912000,5
rtx 3060 ti,4620000,6
rtx 3070,4737778,9
rtx 3070 ti,6613429,7
rtx 3080,11376875,8
rtx 3080 ti,21950000,7
rtx 3090,28339500,4
rtx 4060,7503000,4
rtx 4060 ti,7664250,8
rtx 4070,14393200,5
rtx 4070 super,13768400,5
rtx 4070 ti,15962333,3
rtx 4070 ti super,16099000,1
rtx 4080,19665667,3
rtx 4080 super,17648350,4
rtx 4090,39915000,1
rtx 5050,4575000,2
rtx 5060,6864300,10
rtx 5060 ti,8259300,10
rtx 5070,12271900,10
rtx 5070 ti,16611750,8
rtx 5080,23171333,9
rtx 5090,53056000,7
