Nama,Harga,Toko
ASROCK Radeon RX 6600 Challenger White 8GB GDDR6,Rp 3.740.000,klikgalaxy
Asrock Radeon RX 7600 CHALLENGER 8GB OC GDDR6 RDNA 3,Rp 4.190.000,klikgalaxy
ASROCK Radeon RX 9060 XT Challenger 16GB OC GDDR6 RDNA 4,Rp 6.880.000,klikgalaxy
ASROCK Radeon RX 9060 XT Challenger 8GB OC GDDR6 RDNA 4,Rp 5.450.000,klikgalaxy
ASROCK Radeon RX 9060 XT Steel Legend 16GB OC GDDR6 RDNA 4,Rp 7.110.000,klikgalaxy
Asrock Radeon RX 9070 STEEL LEGEND 16GB OC GDDR6 RDNA 4,Rp 10.600.000,klikgalaxy
ASROCK Radeon RX 9070 XT Steel Legend Dark 16GB GDDR6 RDNA 4,Rp 12.700.000,klikgalaxy
Asrock Radeon RX 9070 XT TAICHI 16GB OC GDDR6 RDNA 4,Rp 14.900.000,klikgalaxy
ASUS Geforce GT 1030 2GB GDDR5,Rp 1.140.000,klikgalaxy
ASUS Geforce GT 710 EVO 2GB GDDR5,Rp 560.000,klikgalaxy
ASUS GeForce RTX 3050 DUAL OC 6GB GDDR6 - Ampere,Rp 2.850.000,klikgalaxy
ASUS GeForce RTX 3050 DUAL OC 8GB GDDR6 - Ampere,Rp 3.740.000,klikgalaxy
ASUS GeForce RTX 3060 Dual 12GB OC GDDR6 - Ampere,Rp 4.790.000,klikgalaxy
ASUS GeForce RTX 5060 DUAL 8GB OC GDDR7 - Blackwell,Rp 5.990.000,klikgalaxy
ASUS GeForce RTX 5060 Ti DUAL 16GB OC GDDR7 - Blackwell,Rp 8.550.000,klikgalaxy
ASUS GeForce RTX 5060 Ti PRIME 16GB OC GDDR7 - Blackwell,Rp 8.999.000,klikgalaxy
ASUS GeForce RTX 5070 PRIME 12GB OC GDDR7 - Blackwell,Rp 12.099.000,klikgalaxy
ASUS GeForce RTX 5070 Ti PRIME 16GB OC GDDR7 - Blackwell,Rp 16.830.000,klikgalaxy
ASUS GeForce RTX 5080 ROG Astral 16GB OC Edition GDDR7 - Blackwell,Rp 28.900.000,klikgalaxy
ASUS GeForce RTX 5080 TUF OC  16GB GDDR7 - Blackwell,Rp 25.300.000,klikgalaxy
ASUS GeForce RTX 5090 ROG Astral LC 32GB OC Edition GDDR7 - Blackwell,Rp 58.150.000,klikgalaxy
ASUS Radeon RX 7600 Dual V2 8GB OC GDDR6 RDNA 3,Rp 3.999.000,klikgalaxy
ASUS Radeon RX 7900 XT TUF GAMING OC 20GB GDDR6 RDNA 3,Rp 15.040.000,klikgalaxy
ASUS Radeon RX 9060 XT DUAL 8GB GDDR6 RDNA 4,Rp 5.880.000,klikgalaxy
ASUS Radeon RX 9060 XT PRIME 16GB OC GDDR6 RDNA 4,Rp 7.490.000,klikgalaxy
ASUS Radeon RX 9060 XT PRIME 8GB OC GDDR6 RDNA 4,Rp 6.060.000,klikgalaxy
ASUS Radeon RX 9070 XT PRIME 16GB OC GDDR6 RDNA 4,Rp 13.950.000,klikgalaxy
ASUS TUF Gaming GeForce RTX 5070 Ti 16GB OC GDDR7 - Blackwell,Rp 18.320.000,klikgalaxy
Colorful GeForce RTX 3050 6GB-V GDDR6 - Ampere,Rp 2.730.000,klikgalaxy
Colorful GeForce RTX 3060 NB DUO V2 L-V 12GB GDDR6 - Ampere,Rp 4.390.000,klikgalaxy
COLORFUL GeForce RTX 4060 NB DUO 8GB V2-V GDDR6 - ADA Lovelace,Rp 4.990.000,klikgalaxy
COLORFUL GeForce RTX 5050 BATTLE AX DUO 8GB-V GDDR6 - Blackwell,Rp 4.650.000,klikgalaxy
COLORFUL GeForce RTX 5050 iGame Ultra W DUO OC 8GB-V GDDR6 - Blackwell,Rp 4.900.000,klikgalaxy
COLORFUL GeForce RTX 5060 iGame Ultra W DUO OC 8GB-V GDDR7 - Blackwell,Rp 5.670.000,klikgalaxy
COLORFUL GeForce RTX 5060 iGame Ultra W OC 8GB-V GDDR7 - Blackwell,Rp 6.100.000,klikgalaxy
COLORFUL GeForce RTX 5060 NB DUO 8GB-V GDDR7 - Blackwell,Rp 5.450.000,klikgalaxy
COLORFUL GeForce RTX 5060 NB EX 8GB-V GDDR7 - Blackwell,Rp 5.900.000,klikgalaxy
COLORFUL GeForce RTX 5060 Ti iGame Ultra W DUO OC 8GB-V GDDR7 - Blackwell,Rp 6.990.000,klikgalaxy
COLORFUL GeForce RTX 5060 Ti NB DUO 16GB-V GDDR7 - Blackwell,Rp 7.810.000,klikgalaxy
COLORFUL GeForce RTX 5060 Ti NB DUO 8GB-V GDDR7 - Blackwell,Rp 6.790.000,klikgalaxy
COLORFUL GeForce RTX 5070 NB EX 12GB-V GDDR7 - Blackwell,Rp 10.200.000,klikgalaxy
COLORFUL GeForce RTX 5070 Ti iGame VULCAN OC 16GB-V GDDR7 - Blackwell,Rp 17.100.000,klikgalaxy
COLORFUL GeForce RTX 5080 iGame Advanced OC 16GB-V GDDR7 - Blackwell,Rp 21.100.000,klikgalaxy
COLORFUL GeForce RTX 5080 iGame Ultra W 16GB OC-V GDDR7 White - Blackwell,Rp 20.100.000,klikgalaxy
COLORFUL GeForce RTX 5080 iGame Vulcan OC 16GB-V GDDR7 - Blackwell,Rp 23.250.000,klikgalaxy
GIGABYTE GeForce RTX 3050 WINDFORCE 6GB OC GDDR6 - Ampere,Rp 2.870.000,klikgalaxy
GIGABYTE GeForce RTX 3060 WINDFORCE OC 12GB GDDR6,Rp 4.590.000,klikgalaxy
GIGABYTE GeForce RTX 4060 GAMING 8GB OC GDDR6 - ADA Lovelace,Rp 5.230.000,klikgalaxy
GIGABYTE GeForce RTX 5050 WINDFORCE 8GB OC GDDR6 - Blackwell,Rp 4.990.000,klikgalaxy
GIGABYTE GeForce RTX 5060 LOW PROFILE 8GB OC GDDR7 - Blackwell,Rp 5.990.000,klikgalaxy
GIGABYTE GeForce RTX 5060 Ti EAGLE 16GB OC GDDR7 - Blackwell,Rp 8.600.000,klikgalaxy
GIGABYTE GeForce RTX 5060 Ti GAMING 16GB OC GDDR7 - Blackwell,Rp 8.990.000,klikgalaxy
GIGABYTE GeForce RTX 5060 Ti WINDFORCE 16GB GDDR7 - Blackwell,Rp 8.140.000,klikgalaxy
GIGABYTE GeForce RTX 5060 Ti WINDFORCE 16GB OC GDDR7 - Blackwell,Rp 8.360.000,klikgalaxy
GIGABYTE GeForce RTX 5060 WINDFORCE 8GB GDDR7 - Blackwell,Rp 5.610.000,klikgalaxy
GIGABYTE GeForce RTX 5060 WINDFORCE 8GB OC GDDR7 - Blackwell,Rp 5.810.000,klikgalaxy
GIGABYTE GeForce RTX 5070 EAGLE SFF 12GB OC GDDR7 - Blackwell,Rp 11.300.000,klikgalaxy
GIGABYTE GeForce RTX 5070 Ti EAGLE ICE SFF 16GB OC GDDR7 - Blackwell Free Pluxee,Rp 16.880.000,klikgalaxy
GIGABYTE GeForce RTX 5070 Ti EAGLE SFF 16GB OC GDDR7 - Blackwell Free Pluxee,Rp 16.490.000,klikgalaxy
GIGABYTE GeForce RTX 5070 Ti GAMING 16GB OC GDDR7 - Blackwell Free Pluxee,Rp 17.400.000,klikgalaxy
GIGABYTE GeForce RTX 5070 WINDFORCE SFF 12GB OC GDDR7 - Blackwell,Rp 10.700.000,klikgalaxy
GIGABYTE GeForce RTX 5080 GAMING OC 16GB GDDR7 - Blackwell,Rp 23.400.000,klikgalaxy
GIGABYTE GeForce RTX 5090 GAMING OC 32GB GDDR7 - Blackwell,Rp 48.800.000,klikgalaxy
Gigabyte Intel ARC A380 WINDFORCE OC 6GB GDDR6,Rp 2.090.000,klikgalaxy
GIGABYTE Radeon RX 9060 XT GAMING 8GB OC GDDR6 RDNA 4,Rp 5.999.000,klikgalaxy
LEADTEK Nvidia Quadro RTX 2000 ADA Generation 16GB GDDR6 With ECC - Ada Lovelace,Rp 14.390.000,klikgalaxy
LEADTEK Nvidia Quadro RTX 5000 ADA Generation 32GB GDDR6 With ECC,Rp 94.290.000,klikgalaxy
LEADTEK Nvidia Quadro RTX 6000 ADA Generation 48GB GDDR6 With ECC - Ada Lovelace,Rp 167.100.000,klikgalaxy
LEADTEK Nvidia Quadro RTX A4000 16GB GDDR6,Rp 20.350.000,klikgalaxy
LEADTEK Nvidia Quadro T1000 4GB GDDR6,Rp 6.250.000,klikgalaxy
LEADTEK Nvidia Quadro T1000 8GB GDDR6,Rp 7.900.000,klikgalaxy
MANLI GeForce RTX 5060 TI NEBULA 16GB GDDR7 - Blackwell,Rp 7.710.000,klikgalaxy
MANLI GeForce RTX 5060 TI NEBULA 8GB GDDR7 - Blackwell,Rp 6.640.000,klikgalaxy
MANLI GeForce RTX 5060 TI POLAR FOX 16GB OC GDDR7 - Blackwell,Rp 7.950.000,klikgalaxy
MANLI GeForce RTX 5070 Ti NEBULA 16GB GDDR7 - Blackwell,Rp 14.950.000,klikgalaxy
MANLI GeForce RTX 5070 TI POLAR FOX 16GB OC GDDR7 - Blackwell,Rp 15.250.000,klikgalaxy
MANLI GeForce RTX 5080 POLAR FOX 16GB OC GDDR7 - Blackwell,Rp 18.500.000,klikgalaxy
MSI GeForce GT 1030 AERO ITX 4GB OC DDR4,Rp 1.270.000,klikgalaxy
MSI GeForce RTX 3050 Ventus 2X 6GB OC GDDR6 - Ampere,Rp 2.880.000,klikgalaxy
MSI GeForce RTX 3050 Ventus 2X XS 8GB OC GDDR6 - Ampere,Rp 3.680.000,klikgalaxy
MSI GeForce RTX 3060 VENTUS 2X 12GB OC GDDR6 - Ampere,Rp 4.590.000,klikgalaxy
MSI GeForce RTX 4060 GAMING X NV EDITION 8GB GDDR6 - ADA Lovelace,Rp 5.580.000,klikgalaxy
MSI GeForce RTX 5050 SHADOW 2X 8GB OC GDDR6 - Blackwell,Rp 4.880.000,klikgalaxy
MSI GeForce RTX 5060 GAMING 8GB OC GDDR7 - Blackwell,Rp 6.310.000,klikgalaxy
MSI GeForce RTX 5060 GAMING TRIO 8GB OC GDDR7 - Blackwell,Rp 6.660.000,klikgalaxy
MSI GeForce RTX 5060 INSPIRE 2X 8GB OC GDDR7 - Blackwell,Rp 6.010.000,klikgalaxy
MSI GeForce RTX 5060 SHADOW 2X 8GB OC GDDR7 - Blackwell,Rp 5.710.000,klikgalaxy
MSI GeForce RTX 5060 TI SHADOW 2X 16GB OC GDDR7 - Blackwell,Rp 8.100.000,klikgalaxy
MSI GeForce RTX 5060 Ti VENTUS 2X 16GB OC PLUS GDDR7 - Blackwell,Rp 8.500.000,klikgalaxy
MSI GeForce RTX 5060 Ti VENTUS 2X 8GB OC PLUS GDDR7 - Blackwell,Rp 7.350.000,klikgalaxy
MSI GeForce RTX 5060 TI VENTUS 3X 8GB OC GDDR7 - Blackwell,Rp 7.480.000,klikgalaxy
MSI GeForce RTX 5060 VENTUS 2X 8GB OC GDDR7 - Blackwell,Rp 5.810.000,klikgalaxy
MSI GeForce RTX 5060 VENTUS 2X 8GB OC White GDDR7 - Blackwell,Rp 5.910.000,klikgalaxy
MSI GeForce RTX 5070 GAMING TRIO 12GB OC GDDR7 - Blackwell Promo,Rp 12.750.000,klikgalaxy
MSI GeForce RTX 5070 GAMING TRIO White 12GB OC GDDR7 - Blackwell Promo,Rp 13.400.000,klikgalaxy
MSI GeForce RTX 5070 Ti SHADOW 3X 16GB GDDR7 - Blackwell,Rp 15.660.000,klikgalaxy
MSI GeForce RTX 5070 VANGUARD SOC 12GB GDDR7 - Blackwell Promo,Rp 13.550.000,klikgalaxy
