Nama,Harga,Toko,Query
87MM PLD09210S12HH RTX2080 2070 2060 graphics fan for MSI GeForce RTX,Rp195.000,Speedshop2100,rtx 2060
Colorful GeForce RTX 2060 NB V2-V,Rp4.379.000,Julyaugustshop,rtx 2060
VGA GAINWARD GeForce RTX2060 Super GHOST 8GB DDR6 | RTX 2060 Super 2ND,Rp3.040.000,RedTeknologi-Redcom,rtx 2060
PNY GeForce RTX 2060 SUPER 8GB XLR8 Gaming Dual Fan - VGA Second 2nd,Rp2.840.000,RedTeknologi-Redcom,rtx 2060
ASUS DUAL GAMING GeForce RTX 2060 / RTX2060 EVO OC 6GB GDDR6 2ND,Rp2.740.000,RedTeknologi-Redcom,rtx 2060
COLORFUL GEFORCE RTX 2060 SUPER NB 8GB GDDR6 / RTX 2060SUPER NVDIA,Rp2.860.000,RedTeknologi-Redcom,rtx 2060
PALIT GeForce RTX 2060 / RTX2060 SUPER DUAL 8GB GDDR6 256bit - SECOND vga only,Rp2.860.000,RedTeknologi-Redcom,rtx 2060
ASUS DUAL GAMING GeForce RTX 2060 BARU,Rp3.010.000,RedTeknologi-Redcom,rtx 2060
ASUS ROG Strix RTX2060S OC 8GB - RTX 2060 Super OC 8 GB GDDR6 - 2ND,Rp3.410.000,RedTeknologi-Redcom,rtx 2060
PNY GeForce RTX 2060 XLRB OC 6GB GDDR6 - 2ND,Rp2.530.000,RedTeknologi-Redcom,rtx 2060
87MM PLD09210S12HH RTX2080 2070 2060 graphics fan for MSI GeForce RTX,Rp195.000,Speedshop2100,rtx 2070
MSI GeForce RTX 2070 GAMING Z 8G | 2ND VGA ONLY,Rp3.370.000,RedTeknologi-Redcom,rtx 2070
VGA Gigabyte GeForce RTX 2070 WINDFORCE 8G,Rp10.000.000,Mitra utama comp,rtx 2070
VGA MSI RTX 2070 GAMING Z8G+ PSU Whisper 750w,Rp11.600.000,Mitra utama comp,rtx 2070
zotac gaming GeForce RTX 2070 mini twin 8GB GDDR6,Rp8.200.000,Mitra utama comp,rtx 2070
Logo Stiker Sticker NVIDIA RTX VR 2060 2070 2080 2080Ti Titan G-Sync,Rp10.000,Evon Tech,rtx 2070
Baterai Laptop Razer Blade pro 17 2019 RTX 2070 RZ09-0329 RC30-0287,Rp825.000,Naysila computer,rtx 2070
Baterai RC30-0248 Razer Blade 15 2018 RTX 2070 Max-Q RZ09-0238 6E91,Rp1.650.000,Update-Part,rtx 2070
"fan gpu 78mm rtx2070, gigabyte rtx 2070 4pin",Rp325.000,Chung.jr,rtx 2070
Baterai RC30-0248 Razer Blade 15 2018 RTX 2070 Max-Q RZ09-0238 6E91,Rp790.000,starshop38_NEW,rtx 2070
Logo Stiker Sticker NVIDIA RTX VR 2060 2070 2080 2080Ti Titan G-Sync,Rp10.000,Evon Tech,rtx 2080
Sticker Geforce RTX 2080 | Cutting Stiker Geforce RTX 2080 | Geforce,Rp5.000,Blackseries Official Store,rtx 2080
Baterai Razer Blade Pro 17 RZ09-0314 RTX 2080 RC30-0287 RZ09-0329 ORI,Rp1.210.000,Update-Part,rtx 2080
PC Rakitan | Intel Core i7-9700F / RTX 2080 Super / 64GB RAM a.n JAY,Rp35.500.000,OneLine Game PC,rtx 2080
GALAX RTX 2080 Ti HOF ( Second ) | VGA Gaming RTX 2080Ti,Rp5.500.000,ToniX Computer,rtx 2080
Baterai Razer Blade Pro 17 RZ09-0314 RTX 2080 RC30-0287 RZ09-0329 ORI,Rp1.850.000,IndonesiaComputer,rtx 2080
Baterai Razer Blade Pro 17 RZ09-0314 RTX 2080 RC30-0287 RZ09-0329 Ori,Rp1.500.000,Ahli Komputer Jakarta,rtx 2080
MSI super ventus rtx 2060 rtx 2070 rtx 2080 fan,Rp175.000,ZeroesTechs&Toys,rtx 2080
Fan Vga Gigabyte RTX 2070 2080 ti Gaming OC 82mm 4pin dudukan 42mm,Rp100.000,Sinar Pratama Store 11,rtx 2080
Fan Kipas ASUS RTX 2060 2070 2080 DUAL EVO 90mm 4pin OEM,Rp370.000,Sinar Pratama Store 11,rtx 2080
GIGABYTE GeForce RTX 3050 WINDFORCE OC V2 6G,Rp2.999.000,Nano Komputer,rtx 3050
[FREE TWS] ASUS TUF Gaming A15 FA506NCG-R735B1T-HM - Graphite Black [AMD Ryzen 7 7445HS / NVIDIA GeForce RTX 3050 / 8GB / 512GB / 15.6inch / WIN11 / OHS24 / M365],Rp12.489.000,Asus Indonesia Official,rtx 3050
GALAX Geforce RTX 3050 EX 1-Click OC 6GB GDDR6,Rp2.945.000,Pazcom,rtx 3050
"LAPTOP LENOVO LOQ GAMING 15IRX9-A8ID i5-13450HX RAM 12GB SSD 512GB SSD NVIDIA RTX 3050 6GB FHD W11+OHS 15.6""",Rp14.299.000,BintangRayaKomputer,rtx 3050
ACER NITRO V 15 RYZEN 5 6600H RTX2050 4GB/RTX 3050 6GB-8GB 512GB W11+OHS 15.6FHD 165HZ GARANSI RESMI INDONESIA,Rp9.807.000,Eternal Computer,rtx 3050
"Axioo Pongo 735 i7-13620H RTX 3050 16GB 512GB 15.6"" sRGB 144Hz",Rp11.590.000,Atrinity_NEW,rtx 3050
MSI GeForce RTX 3050 VENTUS 2X E 6G OC,Rp3.120.000,Redcomp,rtx 3050
Lenovo IdeaPad Gaming 315IAH7 i7-12650 8GB 512GB SSD W11+OHS RTX 3050,Rp17.260.000,Lenovo Autorized Cirebon,rtx 3050
Lenovo LOQ Gaming 15IRH8 i5 12450H 8GB 512GB SSD Windows 11 OHS RTX 3050 6GB,Rp14.060.000,Lenovo Autorized Cirebon,rtx 3050
Lenovo LOQ Gaming 15APH8 R5 7640HS 8GB 512GB SSD W11+OHS RTX 3050 6GB,Rp13.560.000,Lenovo Autorized Cirebon,rtx 3050
ZOTAC VGA GAMING GeForce RTX 3060 Twin Edge 12GB GDDR6 RTX3060,Rp4.570.000,Starcomp Origin,rtx 3060
MSI GeForce RTX 3060 VENTUS 2X 12G OC,Rp4.963.000,Redcomp,rtx 3060
